NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
22.5;18.33333333;29.499999999166665;28.08823529411765;39.0;33.0;22.5;75.27;43.0;34.107142857142854;12.0;19.5;3;35.5;7.0;2;510.79;3;40.0;1;1;0.0;5.0;40.06666666666667;5;3;0.0;2;2;1;2;1;1;0;3;0;2.0;36.166666666666664
30.0;30.0;33.666666666666664;31.176470588235293;38.0;30.0;30.0;58.15;41.0;33.857142857142854;12.0;32.0;5;40.0;12.0;1;468.8;2;30.0;1;1;0.0;0.0;37.766666666666666;5;1;0.0;0;1;1;1;2;1;0;3;0;2.0;36.77777777777778
31.0;28.0;29.625;29.117647058235292;31.0;26.75;22.5;95.12;43.0;30.35714285642857;12.0;25.33333333;3;31.5;7.0;3;482.83;2;40.0;1;1;0.0;5.0;37.733333333333334;5;3;0.0;2;2;4;1;1;2;0;3;0;2.0;32.916666666666664
30.0;30.0;32.333333333333336;30.735294117647058;36.0;35.0;25.0;69.99;46.0;39.07142857142857;12.0;33.0;5;30.0;12.0;1;475.13;2;40.0;1;1;0.0;0.0;37.4;5;2;0.0;0;1;1;2;2;1;0;3;0;2.0;36.111111111111114
27.5;17.0;25.916666666666668;35.0;36.0;24.5;26.66666667;85.34;44.0;27.773809524285717;12.0;20.5;1;24.0;3.0;2;444.47;2;40.0;1;1;0.0;9.0;39.06666666666667;5;4;0.0;4;2;2;2;1;1;0;3;0;2.0;33.833333333333336
30.0;40.0;35.25;33.38235294117647;35.0;34.0;30.0;60.48;47.0;39.5;12.0;37.0;5;35.0;12.0;1;466.95;1;40.0;1;1;0.0;0.0;40.2;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;38.388888888888886
25.0;25.5;30.291666666666668;32.94117647058823;37.0;31.0;30.0;60.49;46.0;40.142857142857146;12.0;32.0;3;32.0;7.0;1;460.68;2;40.0;1;1;0.0;5.0;40.333333333333336;5;2;0.0;2;1;1;2;2;1;0;3;0;2.0;30.055555556111113
0.0;0.0;30.0;29.29411764764706;0.0;0.0;9.666666667;67.77;0.0;10.0;2.0;0.0;1;30.0;2.0;0;472.61;0;30.0;0;4;0.0;0.0;11.1;1;0;0.0;0;1;0;0;2;0;0;3;0;2.0;33.0
0.0;0.0;0.0;21.52941176352941;0.0;0.0;0.0;70.5;0.0;0.0;0.0;0.0;0;0.0;0.0;0;451.07;0;0.0;0;2;0.0;0.0;14.88888888888889;0;0;0.0;0;0;0;0;1;0;0;3;0;1.0;14.0
30.0;25.5;30.875;31.029411764117647;35.0;28.5;20.0;70.42;36.0;32.57142857142857;12.0;29.0;3;36.0;7.0;2;493.94;2;40.0;1;1;0.0;5.0;32.6;5;2;0.0;2;1;2;1;2;2;0;3;0;2.0;37.166666666666664
30.0;41.0;38.333333333333336;35.0;39.0;45.0;30.0;67.54;47.0;37.785714285714285;12.0;44.0;5;35.0;12.0;1;451.4;1;45.0;1;1;0.0;0.0;40.6;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;39.5
27.33333333;0.0;16.222222220000003;30.91176470588235;0.0;7.0;30.0;79.12;0.0;20.642857142857142;6.0;25.0;0;14.33333333;0.0;1;449.11;0;40.0;0;1;0.0;6.0;25.11111111111111;3;3;0.0;3;3;2;3;1;1;0;3;0;2.0;31.0
27.5;31.0;32.416666666666664;34.705882352941174;43.0;21.0;25.0;67.05;48.0;36.0;12.0;35.0;3;35.0;8.0;1;452.84;1;40.0;1;1;0.0;4.0;40.93333333333333;5;2;0.0;2;1;2;2;2;1;0;3;0;2.0;38.388888888888886
