NOTA_TG_UNO;NOTA_L_DOS;NOTA_AVAP;NOTA_EI_CINCO;NOTA_ECONOMET;NOTA_AVAM;NOTA_FOTO;NOTA_FGEP;NOTA_EI_SEIS;NOTA_EE_DOS;NOTA_ECUA;NOTA_EI_UNO;NOTA_L_TRES;NOTA_GEOGEO;NOTA_ORD_TER;NCC_NUEVE;NOTA_POO;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;VECES_EE_DOS;NOTA_FOTOD;VECES_EI_CINCO;VECES_ORD_TER;NOTA_EI_CUATRO;VECES_TG_UNO;EPA_NUEVE;VECES_EI_SEIS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_NUEVE;NCP_NUEVE;NAP_NUEVE;CREDITOS_EI_CINCO;CREDITOS_TG_UNO;CREDITOS_ORD_TER;CREDITOS_EI_SEIS;CREDITOS_EE_DOS;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
50;37;33;37;34;39;43;41;0;45;31;42;42;36;36;10.0;44;10.0;4;4;1;37;1;1;35;1;2;0;35.388888888888886;38.8;36.375;40.9;0.0;0;3;2;3;3;2;3.0;43.09090909090909
50;43;45;48;42;36;46;40;0;40;41;38;41;33;47;10.0;50;10.0;4;4;1;35;1;1;46;1;2;0;36.77777777777778;40.666666666666664;41.25;46.5;0.0;0;3;2;3;3;2;3.0;43.18181818181818
0;39;36;32;45;35;35;42;0;37;32;42;0;32;36;8.0;39;8.0;3;3;1;40;1;1;36;0;2;0;34.888888888888886;35.733333333333334;37.1875;34.75;0.0;0;3;2;3;3;2;2.0;39.0
42;46;38;38;44;39;46;48;0;44;30;44;46;41;37;10.0;50;10.0;4;4;1;40;1;1;41;1;2;0;35.166666666666664;39.733333333333334;40.8125;39.7;0.0;0;3;2;3;3;2;2.0;38.72727272727273
50;31;32;35;35;39;31;39;30;38;31;39;41;31;34;13.0;32;13.0;5;5;1;30;1;1;34;1;2;1;34.666666666666664;32.86666666666667;38.9375;36.38461538461539;0.0;0;3;2;3;3;2;2.0;35.45454545454545
42;39;38;34;42;39;30;35;39;43;41;39;39;36;47;13.0;44;13.0;5;5;1;35;1;1;42;1;2;1;36.833333333333336;37.333333333333336;41.0;40.76923076923077;0.0;0;3;2;3;3;2;3.0;40.36363636363637
50;37;41;30;32;40;31;30;0;30;30;41;34;36;45;10.0;32;10.0;4;4;1;33;1;1;32;1;2;0;33.05555555555556;34.06666666666667;34.75;38.5;0.0;0;3;2;3;3;2;3.0;43.90909090909091
49;39;35;39;34;35;30;32;0;36;31;48;0;31;36;10.0;43;10.0;4;4;1;31;1;1;39;1;2;0;34.333333333333336;38.4;38.375;39.5;0.0;0;3;2;3;3;2;3.0;43.54545454545455
48;41;43;38;43;43;37;37;0;38;31;39;39;32;45;10.0;42;10.0;4;4;1;35;1;1;36;1;2;0;34.111111111111114;37.4;39.875;42.1;0.0;0;3;2;3;3;2;3.0;41.18181818181818
46;45;40;42;31;36;42;42;0;45;38;45;42;41;45;10.0;40;10.0;4;4;1;41;1;1;39;2;2;0;37.05555555555556;40.4;42.4375;44.3;0.0;0;3;2;3;3;2;3.0;40.54545454545455
50;40;41;36;30;42;30;33;29;0;30;36;37;32;43;11.0;38;8.0;4;3;0;39;1;1;39;1;2;1;33.666666666666664;37.0;34.0;38.54545454545455;3.0;1;3;2;3;3;2;3.0;42.375
0;49;33;39;36;33;44;33;0;45;39;37;41;31;33;8.0;34;8.0;3;3;1;38;1;1;35;0;2;0;33.611111111111114;35.46666666666667;35.25;38.25;0.0;0;3;2;3;3;2;2.0;32.6
50;33;33;39;31;41;39;39;35;48;40;44;46;37;33;13.0;43;13.0;5;5;1;31;1;1;33;1;2;1;35.833333333333336;38.4;38.375;39.76923076923077;0.0;0;3;2;3;3;2;3.0;42.54545454545455
