PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
451.49;58.13;61.41;57.44;40.88;1.0;19.09090909090909;20;55.99;2;3;11.0;2;15.0;0.0;15.0;40.0;15.0;35.0;0.0;1.0;26.785714285714285;12.5;1.0
464.61;60.49;54.12;52.34;48.43;1.0;15.0;15;51.92;4;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;20.0;0.0;0.0
440.62;69.99;54.12;52.34;71.53;1.0;15.0;17;53.95;15;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
429.47;74.44;49.23;54.13;62.69;1.0;16.731601731601547;20;51.64;20;4;11.0;0;15.428571428571;0.0;22.5;11.5;15.0;13.333333333333;0.0;1.0;27.5;21.75;1.0
459.05;70.5;49.23;52.36;46.06;2.0;34.733333333333334;10;57.44;10;0;15.0;7;30.0;30.0;30.0;40.0;40.0;45.0;43.0;2.0;37.05882352941177;37.86666666666667;2.0
457.46;78.22;46.84;57.44;58.45;2.0;31.24444444444453;20;58.09;10;3;15.0;6;21.666666666667;32.5;30.0;40.0;40.0;35.0;36.0;1.0;27.65625;29.1;1.0
460.65;79.77;46.28;45.7;42.76;1.0;20.03846153846154;5;59.54;5;2;13.0;3;15.0;4.0;22.5;30.0;30.0;35.0;0.0;1.0;15.666666666666666;16.0;1.0
458.59;67.77;53.97;49.26;49.6;2.0;32.93333333333333;20;59.24;20;1;15.0;6;22.5;35.0;35.0;35.0;35.0;40.0;42.0;2.0;32.65625;38.2;2.0
440.62;58.13;61.41;55.7;49.65;1.0;29.615384615384617;20;51.92;13;1;13.0;5;17.5;0.0;30.0;35.0;35.0;40.0;40.0;1.0;30.0;0.0;0.0
472.35;81.5;46.84;43.47;45.98;1.0;20.55555555555556;10;53.95;2;2;9.0;2;15.0;0.0;20.0;30.0;0.0;35.0;0.0;1.0;17.5;0.0;0.0
