PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
39;38;41;43;41;8;50;35;30;43;3
40;38;37;42;38;8;45;39;36;40;3
39;41;37;44;37;7;45;35;24;42;3
0;0;0;0;0;0;0;0;0;0;2
37;39;39;43;39;8;45;37;35;34;3
39;40;39;44;37;7;40;36;34;43;3
37;39;37;43;32;6;50;33;24;39;3
41;39;38;43;38;8;40;30;42;46;3
35;37;34;41;37;7;50;37;23;45;3
0;0;0;0;0;0;0;0;0;0;2
37;40;43;45;37;7;46;34;29;44;3
0;0;0;0;0;0;0;0;0;0;2
29;0;0;0;0;0;0;0;0;0;2
33;41;36;44;37;7;50;37;30;45;3
0;0;0;0;0;0;0;0;0;0;2
