PG_ICFES,TIPO_COLEGIO
330.0,NO REGISTRA
441.0,OFICIAL
446.0,OFICIAL
444.0,OFICIAL
410.0,OFICIAL
438.0,NO OFICIAL
430.0,OFICIAL
414.0,NO OFICIAL
429.0,OFICIAL
392.0,OFICIAL
417.0,OFICIAL
450.0,OFICIAL
428.0,NO OFICIAL
401.0,OFICIAL
419.0,NO OFICIAL
410.0,NO OFICIAL
402.0,OFICIAL
409.0,OFICIAL
416.33,NO OFICIAL
409.0,NO OFICIAL
416.0,OFICIAL
400.0,OFICIAL
420.0,NO OFICIAL
330.0,OFICIAL
339.0,NO REGISTRA
411.0,OFICIAL
367.0,OFICIAL
412.0,NO OFICIAL
307.0,NO REGISTRA
384.0,NO REGISTRA
413.0,OFICIAL
427.0,NO OFICIAL
335.0,NO REGISTRA
348.0,NO REGISTRA
324.0,NO REGISTRA
340.0,NO REGISTRA
345.0,NO REGISTRA
330.0,NO REGISTRA
342.0,NO REGISTRA
327.0,NO REGISTRA
340.0,NO REGISTRA
334.0,NO REGISTRA
334.0,NO REGISTRA
339.0,NO REGISTRA
345.0,NO REGISTRA
333.0,NO REGISTRA
401.0,NO REGISTRA
372.0,NO OFICIAL
393.0,NO OFICIAL
373.0,NO REGISTRA
378.0,NO REGISTRA
394.0,NO REGISTRA
382.0,NO REGISTRA
387.0,NO OFICIAL
386.0,NO REGISTRA
359.0,NO REGISTRA
359.0,NO REGISTRA
354.0,NO OFICIAL
361.0,NO REGISTRA
348.0,NO REGISTRA
340.0,NO REGISTRA
348.0,OFICIAL
345.0,NO REGISTRA
358.0,NO REGISTRA
357.0,NO OFICIAL
337.0,NO REGISTRA
341.0,NO REGISTRA
360.0,NO REGISTRA
337.0,OFICIAL
345.0,OFICIAL
351.0,OFICIAL
335.0,NO OFICIAL
329.0,NO REGISTRA
337.0,OFICIAL
350.0,NO REGISTRA
353.0,NO REGISTRA
337.0,NO REGISTRA
338.0,NO REGISTRA
339.0,NO REGISTRA
335.0,NO REGISTRA
338.0,NO REGISTRA
343.0,OFICIAL
346.0,NO REGISTRA
327.0,NO REGISTRA
338.0,OFICIAL
340.0,OFICIAL
355.0,NO OFICIAL
333.0,NO REGISTRA
324.0,NO REGISTRA
333.0,NO REGISTRA
342.0,NO OFICIAL
335.0,NO REGISTRA
322.0,NO REGISTRA
336.0,OFICIAL
333.0,NO OFICIAL
332.0,NO REGISTRA
323.0,NO REGISTRA
325.0,NO REGISTRA
335.0,OFICIAL
329.0,NO REGISTRA
340.0,NO OFICIAL
330.0,NO REGISTRA
439.0,OFICIAL
431.0,NO OFICIAL
428.0,OFICIAL
426.0,NO OFICIAL
415.0,OFICIAL
439.0,NO OFICIAL
427.0,NO OFICIAL
413.0,NO REGISTRA
393.0,OFICIAL
419.0,NO OFICIAL
427.0,OFICIAL
418.0,NO REGISTRA
424.0,NO OFICIAL
432.0,OFICIAL
413.0,OFICIAL
399.0,NO OFICIAL
425.0,OFICIAL
408.0,OFICIAL
393.0,NO REGISTRA
426.0,OFICIAL
393.0,OFICIAL
412.0,NO OFICIAL
418.0,NO REGISTRA
400.0,NO OFICIAL
392.0,OFICIAL
393.0,NO OFICIAL
396.0,OFICIAL
407.0,NO OFICIAL
394.0,OFICIAL
411.0,NO OFICIAL
394.0,NO OFICIAL
395.0,OFICIAL
311.0,OFICIAL
