MUNICIPIO,PG_ICFES
NO REGISTRA,330.0
NO REGISTRA,308.0
NO REGISTRA,350.0
NO REGISTRA,312.0
NO REGISTRA,323.0
BOJACA,374.0
NO REGISTRA,332.0
NO REGISTRA,320.0
NO REGISTRA,330.0
BOJACA,430.0
NO REGISTRA,325.0
NO REGISTRA,323.0
NO REGISTRA,328.0
NO REGISTRA,320.0
BOJACA,398.0
NO REGISTRA,330.0
NO REGISTRA,322.0
NO REGISTRA,327.0
NO REGISTRA,251.5
NO REGISTRA,325.0
NO REGISTRA,324.0
NO REGISTRA,327.0
NO REGISTRA,331.0
NO REGISTRA,323.0
NO REGISTRA,450.0
TESALIA,389.0
NO REGISTRA,373.0
NO REGISTRA,367.0
NO REGISTRA,383.0
NO REGISTRA,359.0
NO REGISTRA,348.0
NO REGISTRA,351.0
NO REGISTRA,365.0
NO REGISTRA,364.0
NO REGISTRA,357.0
NO REGISTRA,352.0
NO REGISTRA,358.0
NO REGISTRA,341.0
NO REGISTRA,349.0
NO REGISTRA,345.0
BOJACA,343.0
NO REGISTRA,340.0
NO REGISTRA,345.0
NO REGISTRA,339.0
NO REGISTRA,329.0
NO REGISTRA,336.0
BOJACA,351.0
BOJACA,339.0
BOJACA,337.0
NO REGISTRA,334.0
NO REGISTRA,343.0
NO REGISTRA,341.0
NO REGISTRA,340.0
NO REGISTRA,341.0
NO REGISTRA,333.0
NO REGISTRA,343.0
NO REGISTRA,331.0
BOJACA,345.0
NO REGISTRA,332.0
NO REGISTRA,341.0
BOJACA,338.0
BOJACA,324.0
BOJACA,332.0
NO REGISTRA,327.0
BOJACA,326.0
BOJACA,333.0
BOJACA,328.0
NO REGISTRA,330.0
NO REGISTRA,332.0
NO REGISTRA,329.0
BOJACA,328.0
BOJACA,343.0
BOJACA,332.0
NO REGISTRA,336.0
BOJACA,330.0
BOJACA,326.0
NO REGISTRA,319.0
NO REGISTRA,327.0
NO REGISTRA,315.0
NO REGISTRA,327.0
NO REGISTRA,323.0
BOJACA,311.0
NO REGISTRA,321.0
BOJACA,335.0
NO REGISTRA,321.0
NO REGISTRA,315.0
BOJACA,438.0
BOJACA,321.0
NO REGISTRA,326.0
BOJACA,328.0
BOJACA,323.0
NO REGISTRA,322.0
BOJACA,328.0
FUSAGASUGA,329.0
BOJACA,323.0
VILLETA,316.0
VILLETA,421.0
SOATA,416.0
BOJACA,435.0
BOJACA,443.29
MOSQUERA,428.0
BOJACA,411.0
NO REGISTRA,415.0
EL BANCO,410.0
BOJACA,412.0
BOJACA,422.0
BOJACA,414.0
BOJACA,406.0
BOJACA,421.0
BOJACA,412.0
BOJACA,420.0
BOJACA,420.0
BOJACA,414.0
SOATA,414.0
MANAURE BALCON DEL 12,411.0
BOJACA,403.0
NO REGISTRA,406.0
BOJACA,394.0
BOJACA,389.0
BOJACA,408.0
NO REGISTRA,292.0
NO REGISTRA,293.0
NO REGISTRA,376.0
BOJACA,397.42
NO REGISTRA,351.0
NO REGISTRA,338.0
NO REGISTRA,297.0
BOJACA,324.0
NO REGISTRA,355.0
BOJACA,314.0
BOJACA,397.0
BOJACA,310.0
BOJACA,316.0
BOJACA,397.0
BOJACA,323.0
FLORENCIA,314.0
SORACA,313.0
NO REGISTRA,313.0
NO REGISTRA,312.0
NO REGISTRA,318.0
NO REGISTRA,316.0
BOJACA,319.0
