PG_ICFES,DEPARTAMENTO
407.0,NO REGISTRA
389.0,BOGOTA
407.0,BOGOTA
413.0,BOGOTA
420.0,CUNDINAMARCA
396.0,BOGOTA
396.0,BOGOTA
401.0,BOGOTA
392.0,BOGOTA
390.0,CALDAS
396.0,BOGOTA
404.0,BOGOTA
393.0,BOGOTA
411.0,NO REGISTRA
391.0,CESAR
372.0,NO REGISTRA
400.6,CUNDINAMARCA
384.0,NO REGISTRA
368.0,NARINO
374.0,HUILA
420.0,BOGOTA
396.0,NO REGISTRA
363.0,TOLIMA
407.0,NO REGISTRA
405.0,NO REGISTRA
407.0,NO REGISTRA
380.0,NO REGISTRA
362.0,NO REGISTRA
384.0,NO REGISTRA
372.0,NO REGISTRA
392.0,NO REGISTRA
390.0,NO REGISTRA
385.0,NO REGISTRA
358.0,NO REGISTRA
375.0,NO REGISTRA
383.0,NO REGISTRA
370.0,NO REGISTRA
364.0,NO REGISTRA
362.0,NO REGISTRA
386.0,NO REGISTRA
376.0,NO REGISTRA
375.0,NO REGISTRA
362.0,NO REGISTRA
377.0,NO REGISTRA
361.0,NO REGISTRA
372.0,NO REGISTRA
369.0,NO REGISTRA
374.0,NO REGISTRA
375.0,NO REGISTRA
367.0,NO REGISTRA
368.0,NO REGISTRA
352.0,NO REGISTRA
356.0,NO REGISTRA
363.0,NO REGISTRA
366.0,NO REGISTRA
360.0,NO REGISTRA
366.0,NO REGISTRA
363.0,NO REGISTRA
372.0,NO REGISTRA
366.0,NO REGISTRA
353.0,NO REGISTRA
357.0,NO REGISTRA
361.0,NO REGISTRA
352.0,NO REGISTRA
358.0,NO REGISTRA
353.0,NO REGISTRA
360.0,NO REGISTRA
365.0,NO REGISTRA
361.0,NO REGISTRA
358.0,NO REGISTRA
378.0,NO REGISTRA
356.0,NO REGISTRA
357.0,NO REGISTRA
352.0,NO REGISTRA
363.0,NO REGISTRA
360.0,NO REGISTRA
357.0,NO REGISTRA
365.0,NO REGISTRA
352.0,NO REGISTRA
351.0,NO REGISTRA
363.0,NO REGISTRA
