NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
35;50;33;38;37;1;40.88235294117647;1;1;7;40;1;1;41;1;35;1;1;0.0;17.0;50;2;1;43;17.0;7;35;45;40;42.94117647058823;1;0;45;0;3;2;2;43;3;2;3;2;2.0;39.588235294117645
45;50;43;39;41;1;41.76470588235294;1;1;7;42;1;1;47;1;40;1;1;0.0;17.0;42;2;1;43;17.0;7;40;48;40;42.411764705882355;1;0;35;0;3;2;2;50;3;2;3;2;3.0;43.76470588235294
30;0;0;0;0;3;34.84615384615385;0;0;1;0;0;0;0;0;27;0;0;2.0;2.0;0;1;0;20;0.0;0;0;0;0;20.0;0;0;0;1;3;2;2;0;3;2;3;2;1.0;30.0
48;50;45;33;37;1;39.76470588235294;1;1;7;41;1;1;46;1;38;1;1;0.0;17.0;31;2;1;42;17.0;7;43;45;44;39.411764705882355;1;0;30;0;3;2;2;42;3;2;3;2;3.0;42.35294117647059
31;40;45;44;34;1;35.705882352941174;2;1;7;39;1;1;38;2;35;3;1;0.0;17.0;34;2;1;40;17.0;7;30;34;36;36.1764705882353;1;2;34;0;3;2;2;43;3;2;3;2;2.0;38.8235294117647
30;42;30;32;43;2;32.76470588235294;1;1;7;38;1;1;37;1;32;4;1;0.0;17.0;32;2;1;32;17.0;7;34;36;45;36.76470588235294;1;1;30;0;3;2;2;44;3;2;3;2;2.0;36.529411764705884
30;0;0;0;0;1;28.933333333333334;0;0;5;0;0;0;0;0;34;3;0;3.0;12.0;33;2;1;0;9.0;4;33;37;32;32.416666666666664;1;1;29;1;3;2;2;0;3;2;3;2;1.0;30.0
30;46;34;30;36;1;37.529411764705884;1;1;7;44;1;1;33;1;34;3;1;0.0;17.0;32;2;1;40;17.0;7;37;38;39;36.529411764705884;1;1;30;0;3;2;2;40;3;2;3;2;2.0;36.35294117647059
38;47;46;41;42;1;37.8235294117647;1;1;7;43;1;1;37;1;34;2;1;0.0;17.0;34;2;1;44;17.0;7;41;35;47;41.05882352941177;1;1;33;0;3;2;2;50;3;2;3;2;3.0;42.23529411764706
30;42;40;33;39;1;35.23529411764706;1;1;7;38;1;1;37;2;30;3;2;0.0;17.0;36;2;1;36;17.0;7;38;42;42;37.64705882352941;1;1;30;0;3;2;2;40;3;2;3;2;2.0;37.1764705882353
