NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
42;42;30;2;43;37;33;45;44;34;1;30;36;7;15.0;46;39;33;40;35;0;1;30;47.18;1.0;38;0.0;1;15.0;0;1;1;7;2;1;32.1764705882353;36.0;35.388888888888886;34.8235294117647;39.666666666666664;1;3;2;2;2;2;1;3;3.0;41.4375
30;37;38;0;39;39;32;35;40;36;1;30;40;7;15.0;41;40;35;44;30;0;1;30;55.65;1.0;36;0.0;1;15.0;0;1;1;7;2;1;30.58823529411765;35.666666666666664;35.05555555555556;37.8235294117647;37.53333333333333;1;3;2;2;2;2;1;3;2.0;39.75
37;40;40;0;44;38;37;45;40;30;1;35;40;7;15.0;43;36;32;44;50;1;1;30;54.66;1.0;44;0.0;1;15.0;0;2;1;7;2;1;35.588235294117645;37.333333333333336;39.0;37.94117647058823;37.733333333333334;1;3;2;2;2;2;1;3;2.0;37.6875
0;0;0;0;0;0;0;0;0;0;0;30;0;0;0.0;0;0;0;0;50;0;0;30;49.15;0.0;0;0.0;0;0.0;0;0;0;0;1;0;40.0;29.333333333333332;0.0;0.0;0.0;0;3;2;2;2;2;0;3;0.0;0.0
0;0;25;0;0;0;30;0;0;0;0;11;34;1;2.0;0;0;0;36;35;0;0;40;51.43;1.0;0;0.0;0;2.0;0;0;0;1;2;0;30.176470588235293;34.0;0.0;30.4;36.0;0;3;2;2;2;2;0;3;0.0;0.0
0;0;13;3;37;38;38;33;35;30;0;30;45;4;7.0;41;11;14;39;40;0;2;30;49.09;1.0;30;3.0;2;10.0;1;0;1;5;1;1;32.94117647058823;36.0;28.5;39.416666666666664;28.8;1;3;2;2;2;2;1;3;1.0;22.0
30;37;38;1;38;38;30;30;40;35;1;30;30;7;15.0;43;37;37;47;50;0;1;30;47.18;1.0;40;0.0;1;15.0;0;1;1;7;2;1;35.88235294117647;37.0;35.72222222222222;36.470588235294116;37.2;1;3;2;2;2;2;1;3;2.0;37.9375
30;43;31;3;44;34;38;35;42;36;1;31;36;7;15.0;46;37;31;44;40;1;1;30;49.15;1.0;37;0.0;2;15.0;0;2;1;7;2;1;33.705882352941174;35.333333333333336;36.55555555555556;39.529411764705884;37.4;1;3;2;2;2;2;1;3;2.0;39.4375
30;32;30;4;35;43;37;43;35;34;3;30;33;7;15.0;47;31;32;34;40;2;2;30;54.66;1.0;38;0.0;2;15.0;0;1;1;7;2;2;33.8235294117647;33.666666666666664;34.611111111111114;32.705882352941174;34.4;1;3;2;2;2;2;1;3;2.0;36.875
30;31;33;1;41;37;34;36;34;33;1;33;35;7;15.0;40;32;30;43;30;2;1;30;62.72;1.0;35;0.0;2;15.0;0;2;1;7;2;3;32.05882352941177;36.0;35.333333333333336;38.529411764705884;34.266666666666666;1;3;2;2;2;2;1;3;2.0;37.75
31;35;30;1;42;36;35;39;40;35;1;30;32;7;15.0;43;32;38;33;33;0;1;30;46.7;1.0;35;0.0;1;15.0;0;1;1;7;2;1;33.35294117647059;34.333333333333336;36.388888888888886;38.1764705882353;34.0;1;3;2;2;2;2;1;3;2.0;39.625
33;33;30;2;32;38;39;30;45;41;1;32;36;7;15.0;40;30;32;38;45;0;1;30;62.78;1.0;40;0.0;1;15.0;0;1;1;7;2;1;33.23529411764706;35.0;35.94444444444444;36.1764705882353;35.266666666666666;1;3;2;2;2;2;1;3;2.0;35.5
0;0;0;0;0;0;0;10;32;0;0;30;33;1;2.0;0;0;0;50;40;0;0;30;42.72;1.0;0;0.0;0;2.0;0;0;0;1;2;0;34.588235294117645;33.53333333333333;0.0;39.0;50.0;0;3;2;2;2;2;0;3;0.0;0.0
